Sales
product_id,store_id,date,sales,revenue,stock,price,promo_type_1,promo_type_2
P0381,S0025,1/2/17,2,4.54,7,2.45,PR14,PR03
P0382,S0026,1/2/17,1,2.27,13,2.45,PR14,PR03
P0383,S0027,1/2/17,1,2.27,2,2.45,PR14,PR03
P0384,S0028,1/2/17,1,3.84,0,,PR14,PR03
P0385,S0030,1/2/17,2,4.54,1,2.45,PR14,PR03
P0386,S0031,1/2/17,2,4.54,12,2.45,PR14,PR03
P0387,S0032,1/2/17,0,0,13,2.45,PR14,PR03
P0388,S0033,1/2/17,0,0,2,2.45,PR14,PR03
P0389,S0034,1/2/17,0,0,5,2.45,PR14,PR03
P0390,S0039,1/2/17,0,0,4,2.45,PR14,PR03
P0391,S0040,1/2/17,0,0,2,2.45,PR14,PR03
P0392,S0050,1/2/17,0,0,3,2.45,PR14,PR03
P0393,S0051,1/2/17,0,0,29,2.45,PR14,PR03
P0394,S0053,1/2/17,0,0,5,2.45,PR14,PR03
P0395,S0055,1/2/17,0,0,3,2.45,PR14,PR03
P0396,S0056,1/2/17,2,4.54,10,2.45,PR14,PR03
P0397,S0058,1/2/17,0,0,1,2.45,PR14,PR03
P0398,S0060,1/2/17,0,0,11,2.45,PR14,PR03
P0399,S0062,1/2/17,0,0,23,2.45,PR14,PR03
P0400,S0063,1/2/17,0,0,3,2.45,PR14,PR03
P0401,S0065,1/2/17,1,3.52,3,3.8,PR14,PR03
P0402,S0066,1/2/17,0,0,28,2.45,PR14,PR03
P0403,S0068,1/2/17,0,0,1,2.45,PR14,PR03
P0404,S0070,1/2/17,0,0,2,2.45,PR14,PR03
P0405,S0072,1/2/17,2,7.69,0,,PR14,PR03
P0406,S0073,1/2/17,0,0,5,2.45,PR14,PR03
P0407,S0074,1/2/17,0,0,32,2.45,PR14,PR03
P0408,S0077,1/2/17,0,0,9,2.45,PR14,PR03
P0409,S0078,1/2/17,0,0,13,2.45,PR14,PR03
P0410,S0080,1/2/17,0,0,11,2.45,PR14,PR03
P0411,S0082,1/2/17,0,0,2,2.45,PR14,PR03
P0412,S0083,1/2/17,0,0,2,2.45,PR14,PR03
P0413,S0085,1/2/17,1,2.27,33,2.45,PR14,PR03
P0414,S0086,1/2/17,0,0,5,2.45,PR14,PR03
P0415,S0087,1/2/17,0,0,2,2.45,PR14,PR03
P0416,S0088,1/2/17,0,0,2,2.45,PR14,PR03
P0417,S0089,1/2/17,0,0,13,2.45,PR14,PR03
P0418,S0090,1/2/17,0,0,6,3.8,PR14,PR03
P0419,S0091,1/2/17,1,2.27,5,2.45,PR14,PR03
P0420,S0096,1/2/17,3,6.81,9,2.45,PR14,PR03
P0421,S0097,1/2/17,0,0,7,2.45,PR14,PR03
P0422,S0099,1/2/17,1,2.27,5,2.45,PR14,PR03
P0423,S0102,1/2/17,0,0,3,2.45,PR14,PR03
P0424,S0103,1/2/17,1,2.27,0,2.45,PR14,PR03
P0425,S0104,1/2/17,1,2.27,33,2.45,PR14,PR03
P0426,S0106,1/2/17,0,0,4,2.45,PR14,PR03
